mean,group
5815.05,n=20
5552.75,n=20
2962,n=20
7858.85,n=20
5306.15,n=20
3337.65,n=20
6374.7,n=20
5904.45,n=20
8673.6,n=20
5221.55,n=20
5885.25,n=20
5438.65,n=20
8447.8,n=20
3167.45,n=20
11167.95,n=20
5555.3,n=20
5306.1,n=20
7230.6,n=20
3789.45,n=20
7587,n=20
5734.7,n=20
8768.6,n=20
7540.55,n=20
3416.8,n=20
8307.75,n=20
10119.5,n=20
3579.2,n=20
5916.3,n=20
3757.7,n=20
5114.6,n=20
5935.55,n=20
5327.25,n=20
6014.55,n=20
6142.9,n=20
6062.5,n=20
4478.3,n=20
5400.8,n=20
5347.75,n=20
4573.8,n=20
5834.05,n=20
3817.1,n=20
7684.75,n=20
4988.45,n=20
9241.45,n=20
3211.6,n=20
3048.15,n=20
4821.65,n=20
5909.3,n=20
7201,n=20
5677.8,n=20
6304.3,n=20
4666.4,n=20
5557.75,n=20
6380.95,n=20
4696.5,n=20
6878.5,n=20
3003.4,n=20
3358.25,n=20
6365.8,n=20
3779.35,n=20
6002.8,n=20
3754.85,n=20
4269.35,n=20
7171.85,n=20
2296.95,n=20
5623.5,n=20
9477.5,n=20
7530.2,n=20
7148.35,n=20
6826.35,n=20
3276.75,n=20
5253.05,n=20
7110.6,n=20
7837.55,n=20
4009.9,n=20
4238.75,n=20
8190.8,n=20
4720.35,n=20
7423.95,n=20
4338.25,n=20
6644.45,n=20
6509.45,n=20
5575.8,n=20
5886.65,n=20
5070,n=20
6027.1,n=20
8333.9,n=20
4455.25,n=20
7864.35,n=20
5972.45,n=20
4784.55,n=20
3435.15,n=20
5179.45,n=20
4675,n=20
6062.95,n=20
4314.65,n=20
4689.4,n=20
9950.25,n=20
5606.2,n=20
4097.9,n=20
4807.45,n=20
2978.7,n=20
4316.75,n=20
6970.75,n=20
7371.9,n=20
5706.2,n=20
4491.45,n=20
4229.8,n=20
3008,n=20
7062.5,n=20
11277.6,n=20
5647.1,n=20
5410.95,n=20
6994.2,n=20
7541.15,n=20
2656.8,n=20
5384.95,n=20
4656.15,n=20
3680.85,n=20
5391,n=20
6628.35,n=20
2950.9,n=20
5750.25,n=20
6826.5,n=20
4482.15,n=20
5722.35,n=20
6386.7,n=20
2856.8,n=20
6472.05,n=20
3307.9,n=20
7828.8,n=20
3255.7,n=20
3933.65,n=20
2405.5,n=20
4570.25,n=20
6719.8,n=20
5748.35,n=20
6293.5,n=20
8114.6,n=20
3938.7,n=20
4243.05,n=20
6330.2,n=20
6553.7,n=20
5771.8,n=20
3799.3,n=20
5524.5,n=20
5747.75,n=20
5685.35,n=20
6026,n=20
